达人名称,粉丝数,播放量,点赞数,评论数,转发数,投放消耗,线索量,成交量,GMV,数据声明
模拟达人001,473848,542972,49387,5853,4392,43367.41,816,46,27438.26,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人002,29264,12612,393,46,40,403.97,43,3,723.57,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人003,243812,159327,4780,920,457,3663.4,140,7,3412.89,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人004,15513,13301,231,35,47,407.91,5,0,0.0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人005,127898,37103,948,91,191,1855.98,96,15,4376.25,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人006,19133,0,0,0,0,298.51,0,0,0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人007,107139,83254,6403,1079,954,5973.35,137,15,7395.36,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人008,5127,4740,208,29,43,153.9,14,1,692.26,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人009,174061,246057,5658,982,770,15156.43,701,99,57083.86,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人010,14540,21547,597,106,16,"¥1,569.06",28,1,146.3,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人011,221192,"355,298",13914,2710,3004,28528.34,1176,44,17616.19,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人012,9638,2846,103,16,23,171.26,9,1,249.01,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人013,1034370,736341,24248,3701,5008,29879.44,1877,90,32269.11,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人014,6887,4048,82,13,17,159.37,14,1,485.3,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人015,10292,14177,441,60,39,318.94,16,1,265.26,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人016,365819,446822,22324,4224,3867,9189.44,159,20,9989.3,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人017,150832,140264,7584,791,953,11051.22,222,29,7061.28,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人018,33638,50006,1237,236,268,3355.52,174,15,10016.49,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人019,23023,32684,1554,205,271,2528.22,53,8,5409.16,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人020,275357,257514,17065,2573,2663,19556.63,181,21,12722.85,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人021,14060,21068,421,59,71,1026.39,41,6,1881.8,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人022,42755,47866,1312,190,247,3711.0,133,24,10000.98,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人023,15959,5600,309,37,46,315.26,15,1,376.02,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人024,260921,333998,19978,3034,4450,26086.5,125,15,2884.83,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
模拟达人025,184337,277068,20031,4027,3916,9811.9,0,0,0,本项目所使用数据均为模拟测试数据，仅用于功能演示，不代表任何公司真实经营数据。
